2007,4891,4091,5818,14148,11990,16696,20083,17245,23363,NA,OceanCounty,combined,combined
2008,5000,4227,5887,14269,12164,16630,20418,17672,23548,NA,OceanCounty,combined,combined
2009,4872,4008,5965,16608,13901,19960,21495,18310,25530,NA,OceanCounty,combined,combined
2010,5438,3887,7376,19135,15104,24336,24559,20361,28805,NA,OceanCounty,combined,combined
2011,5346,4250,6594,17735,14311,21654,22480,18505,26860,NA,OceanCounty,combined,combined
2012,4877,4040,5857,17634,14806,20775,23347,19876,27126,NA,OceanCounty,combined,combined
2013,4281,3107,5737,18313,14800,22278,25490,21340,29876,NA,OceanCounty,combined,combined
2014,4489,3378,5743,17769,14554,21174,27411,23307,31849,NA,OceanCounty,combined,combined
2015,3945,2847,5329,15964,12523,19868,26768,22487,32036,NA,OceanCounty,combined,combined
2016,3507,2571,4673,14392,11555,17878,23759,19340,27815,NA,OceanCounty,combined,combined
2017,4217,3046,5962,18328,14335,22794,27049,22913,31064,NA,OceanCounty,combined,combined
2018,4199,2776,5984,17853,13456,23550,26253,21230,32416,NA,OceanCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,OceanCounty,combined,combined
2020,3650,2472,5189,13813,10504,17568,26983,22345,32378,NA,OceanCounty,combined,combined
2021,4388,3569,5347,17874,14882,21409,25597,21756,30273,NA,OceanCounty,combined,combined
2004,4804,3804,6053,11767,9364,14346,8940,7207,10855,NA,PassaicCounty,combined,combined
2005,5058,3866,6503,13471,10889,16362,9098,7343,11154,NA,PassaicCounty,combined,combined
2006,5304,4422,6147,13676,11635,15654,10199,8809,11577,NA,PassaicCounty,combined,combined
2007,5405,4441,6448,14495,12217,16867,10747,9133,12429,NA,PassaicCounty,combined,combined
2008,5450,4609,6310,14748,12602,16834,11019,9520,12443,NA,PassaicCounty,combined,combined
2009,6280,5175,7619,16139,13563,19176,12101,10325,14150,NA,PassaicCounty,combined,combined
2010,5592,4214,7308,14806,11811,17828,10763,8813,12965,NA,PassaicCounty,combined,combined
2011,5360,4135,6819,14086,11142,17573,10194,8180,12444,NA,PassaicCounty,combined,combined
2012,5699,4697,6848,16293,13589,19019,12096,10277,13995,NA,PassaicCounty,combined,combined
2013,4743,3545,6018,15226,12030,18783,11985,9893,14425,NA,PassaicCounty,combined,combined
